SIMC_id;rodzaj;nazwa;czy_samodzielna;liczba_adresow;liczba_mieszkancow;powierzchnia;zageszczenie_ludnosci
839978;wieś;Bielice;True;181;733;7241346.59;0.010122426690806966
470326;osada;Bieliny;True;5;7;4636081.78;0.00015098957119777124
149239;osada;Bielnik Drugi;True;33;213;1601568.65;0.013299461125191231
149245;osada;Bielnik Pierwszy;True;37;187;5594068.83;0.0033428262268986064
762490;wieś;Bielskie;True;21;37;2884007.79;0.0012829368952571379
481643;wieś;Bieniasze;True;30;86;2945468.05;0.0029197396997736914
756175;wieś;Bienie;True;20;23;2220913.74;0.001035609784646566
480572;wieś;Bieniewo;True;65;243;12045148.14;0.002017409808294811
486089;przysiółek wsi;Bieńki;False;2;0;201594.06;0.0
151383;wieś;Bieńkowo;True;22;53;10142639.47;0.0005225464254818868
118150;przysiółek;Biernaty;True;9;30;1690286.27;0.0017748472866670093
473566;wieś;Biesal;True;145;605;8404607.57;0.00719843246649052
471461;wieś;Biesowo;True;75;306;9348054.3;0.0032734084567737263
471478;wieś;Biesówko;True;33;43;3502073.09;0.0012278441624415098
483576;część wsi;Biestrzykowo;False;7;11;4245102.61;0.0002591221228454593
150722;wieś;Biskupiczki;True;29;116;10279623.92;0.0011284459519410122
840013;wieś;Biskupiec;True;317;1774;4235457.06;0.04188449970969603
471998;kolonia;Bisztynek-Kolonia;True;48;157;12726895.41;0.0012336080005547873
758352;wieś;Bitkowo;True;4;8;6766738.89;0.0001182253391190036
479630;wieś;Blanki;True;65;160;12892055.9;0.0012410743580471134
755690;osada;Bludzie Małe;True;7;28;2004690.4;0.0013967244019325877
755715;wieś;Błąkały;True;22;57;2105069.74;0.0027077487703566533
469027;osada;Błędowo;True;4;52;3551353.02;0.0014642306666544796
755721;wieś;Błędziszki;True;7;25;1382195.87;0.0018087161554027793
478569;wieś;Błogoszewo;True;19;31;5182000.38;0.0005982245798291509
150521;wieś;Błotnica;True;19;79;4555786.24;0.001734058532122877
152780;wieś;Błudowo;True;63;200;14849950.87;0.0013468058025972447
478581;osada;Błuskajmy Małe;True;1;5;3899757.38;0.00012821310437522655
478575;osada;Błuskajmy Wielkie;True;9;42;1491200.54;0.0028165225852184845
148300;wieś;Bobrowiec;True;51;155;5214424.4;0.002972523678740073
479646;wieś;Bobrownik;True;23;87;6280522.27;0.001385235116760441
469033;wieś;Bobrowo;True;32;92;4993348.07;0.0018424511712439064
485931;wieś;Bobrówko;True;17;77;11525611.85;0.0006680773307492565
756181;wieś;Bobry;True;14;43;2365527.87;0.0018177760890215173
765330;osada;Bobry;True;26;332;3327150.07;0.009978509926364698
755750;osada leśna;Boczki;True;6;14;26621.02;0.05259002096839264
758369;osada;Boćwinka;True;38;280;949410.57;0.029491982588733978
753998;część wsi;Boćwinka;False;2;6;212295.5;0.0028262492610535784
761450;wieś;Boćwinka;True;57;197;8329265.09;0.0023651546429530193
758375;osada;Boćwiński Młyn;True;14;69;1748267.62;0.003946764168748946
757890;wieś;Bogacko;True;43;110;13325158.85;0.0008255061064431514
149251;wieś;Bogaczewo;True;26;106;3620531.76;0.0029277467241441905
482387;wieś;Bogaczewo;True;615;438;18321098.86;0.0023906862975139258
757909;wieś;Bogaczewo;True;138;270;13115006.47;0.0020587103835412747
153710;wieś;Bogatyńskie;True;29;83;13274218.27;0.0006252722255410074
159195;osada;Bogdaniec;True;12;71;307435.02;0.023094311116540985
149713;osada;Bogdany;True;11;202;10895912.37;0.0018539062461274184
469777;wieś;Bogdany;True;24;61;2557224.82;0.00238539840231959
481666;wieś;Boguchwały;True;131;592;14264143.37;0.004150266753803667
755388;osada;Bogumiły;True;4;14;449832.58;0.0031122690135072027
764140;wieś;Bogumiły;True;25;133;4837905.22;0.002749123720947969
765694;wieś;Bogusze;True;138;341;7253062.74;0.004701462157764265
482000;wieś;Boguszewo;True;35;121;7335885.91;0.0016494258700923553
483607;wieś;Bolejny;True;42;365;20206847.86;0.0018063183457847842
843951;wieś;Boleszyn;True;119;458;11991805.9;0.003819274626518096
763270;wieś;Borawskie;True;57;239;8254005.17;0.0028955639726113715
763287;wieś;Borawskie Małe;True;14;23;3378224.83;0.00068083094398427
471946;osada;Boreczek;True;1;1;25609.14;0.0039048558444367914
490576;wieś;Boreczno;True;62;258;10678284.01;0.00241611854262715
