SIMC_id;powierzchnia_terenow_uprawnych;powierzchnia_terenow_zalesionych;stosunek_powierzchni_upraw;stosunek_powierzchni_lasow;budynekGospodarstwaRolnego;budynekZabytkowy;budynkiBiurowe;budynkiGarazy;budynkiHandlowoUslugowe;budynkiHoteli;budynkiKultuReligijnego;budynkiKulturyFizycznej;budynkiLacznosciDworcowITerminali;budynkiMieszkalneJednorodzinne;budynkiMuzeowIBibliotek;budynkiODwochMieszkaniach;budynkiOTrzechIWiecejMieszkaniach;budynkiPrzemyslowe;budynkiSzkolIInstytucjiBadawczych;budynkiSzpitaliIZakladowOpiekiMedycznej;budynkiZakwaterowaniaTurystycznegoPozostale;budynkiZbiorowegoZamieszkania;ogolnodostepneObiektyKulturalne;pozostaleBudynkiNiemieszkalne;zbiornikSilosIBudynkiMagazynowe
518406;6766574.47;25598458.490000002;2.130685032716558;8.060541209895101;10;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
518412;13028688.81;40074538.64;2.890244749748008;8.890013921733516;64;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;1;0;0
518429;28697584.12;55242637.43;3.0151742159981114;5.804188091449287;9;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
518435;34208839.61;30589387.830000002;5.942001425677102;5.313310482572367;114;0;0;0;1;0;0;0;0;50;0;0;0;1;0;0;0;0;0;1;1
518458;75560361.76;3562562.25;33.890471642187194;1.597886935621675;53;0;1;0;0;0;0;0;0;32;0;0;2;0;0;0;0;1;0;0;1
518464;51844381.09;730176.12;28.266641939443335;0.398107306960466;12;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0
518470;28527593.689999998;11427020.78;4.36189383681738;1.7472013957818722;36;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;1
518487;69784587.8;61497385.22;3.1050186252184067;2.736285081422107;438;0;4;4;19;7;2;0;0;432;0;0;0;30;2;5;0;1;1;0;5
518493;27553028.73;10477174.27;2.4629458179471677;0.9365472233585613;21;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0
518501;20197536.310000002;9646896.15;2.8515286573279384;1.3619681333298;105;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;1;0;1
