SIMC_id;nazwa;aktualny_rodzaj;Prawdopodobieństwo wieś;Prawdopodobieństwo osada;Prawdopodobieństwo osada leśna;Prawdopodobieństwo kolonia;Proponowany rodzaj (indeks);Proponowany rodzaj
469205;Cacki;przysiółek osady;0.98;0.002;0.0;0.017;0;wieś
469381;Nowy Dwór Momajński;przysiółek wsi;0.996;0.002;0.0;0.002;0;wieś
469398;Piskorze;przysiółek wsi;0.988;0.009;0.0;0.003;0;wieś
469412;Niedziałki;przysiółek wsi;0.001;0.999;0.0;0.0;1;osada
469470;Zalewska Góra;część wsi;0.991;0.007;0.001;0.002;0;wieś
469501;Gradowo;przysiółek osady;0.998;0.0;0.0;0.002;0;wieś
469613;Rowy;przysiółek wsi;0.995;0.004;0.0;0.001;0;wieś
469636;Sławosze;przysiółek osady;0.002;0.972;0.001;0.025;1;osada
469659;Glinka;część wsi;0.994;0.002;0.001;0.002;0;wieś
469688;Garbnik;przysiółek wsi;0.998;0.001;0.0;0.0;0;wieś
469702;Pieszewo;przysiółek wsi;0.982;0.016;0.0;0.002;0;wieś
470639;Klekotki;część wsi;0.982;0.01;0.001;0.007;0;wieś
471047;Gruda;przysiółek wsi;0.943;0.024;0.014;0.019;0;wieś
471136;Szylina Mała;część wsi;0.775;0.215;0.001;0.009;0;wieś
471248;Karolewka;część kolonii;0.983;0.016;0.0;0.0;0;wieś
471567;Pierwój;część wsi;0.33;0.62;0.008;0.042;1;osada
472242;Winiec;część wsi;0.997;0.002;0.0;0.0;0;wieś
473247;Zimna Woda;część wsi;0.992;0.002;0.0;0.005;0;wieś
473253;Babięty;przysiółek wsi;0.993;0.001;0.003;0.003;0;wieś
473709;Zaskwierki;kolonia wsi;0.985;0.014;0.0;0.001;0;wieś
473827;Zdrojek;kolonia wsi;0.99;0.008;0.0;0.002;0;wieś
474407;Gniewkowo;część wsi;0.986;0.01;0.0;0.004;0;wieś
474620;Reszkowo;kolonia wsi;0.994;0.006;0.0;0.0;0;wieś
474650;Grądzik;kolonia wsi;0.994;0.003;0.0;0.002;0;wieś
475068;Kozianka;przysiółek osady;0.987;0.004;0.0;0.009;0;wieś
475252;Lowizowo;część wsi;0.979;0.012;0.001;0.009;0;wieś
475341;Praszki;część wsi;0.063;0.827;0.054;0.056;1;osada
475370;Przejazd;część wsi;0.807;0.173;0.004;0.016;0;wieś
475588;Rodzone;przysiółek osady;0.011;0.98;0.008;0.001;1;osada
475708;Jażdżówki;część wsi;0.991;0.009;0.0;0.0;0;wieś
475832;Jabłonowo-Dyby;część wsi;0.992;0.004;0.001;0.003;0;wieś
475849;Jabłonowo-Maćkowięta;część wsi;0.496;0.5;0.001;0.003;1;osada
476151;Połcie Młode;część wsi;0.87;0.09;0.004;0.036;0;wieś
477386;Gromki;przysiółek osady;0.962;0.031;0.0;0.007;0;wieś
